Profit,HH,Input,Score,ADX_Main,ADX_SMA,Dist_ADX,Dist_Step,H1,L1,O1,C1,V1,H2,L2,O2,C2,V2,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23
0,16,1.001933119,0.553502877,10.70057533,19.331191,2.31491189,1.041870255,100.7095946,99.97735336,100,100.4227372,208.7209302,100.0075489,99.59990941,99.6753982,100,100,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0
0,16,1.000050143,0.513600266,2.720053112,0.501429073,2.252296293,0.98977136,100.1578591,99.67676464,99.9924829,99.94738029,67.14149713,100.2856499,99.55649102,99.57904232,100,100,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
0,17,0.998493749,0.4648385,-7.032299998,-15.06250941,1.740509281,0.721074068,100.0150421,99.56377858,100.0150421,99.71419976,86.57178868,100.2105897,99.72924188,100.0451264,100,100,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0
1,18,0.998188132,0.492411883,-1.517623333,-18.11867734,0.253551933,0.413704432,100.0452318,99.50998869,100.0150773,99.67583867,122.8571429,100.0603091,99.85676593,99.93969092,100,100,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0
1,17,1.000922793,0.485046579,-2.990684238,9.227929868,0.002266771,0.639213276,100.1615757,100,100,100.1461876,198.6618005,100.0076941,99.83842425,99.86920058,100,100,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0
1,18,1.00053813,0.486788398,-2.642320445,5.381303813,1.003767043,0.614675375,100.053813,99.95387454,99.99231242,100.053813,30.33126294,100.0999385,99.93081181,100.0615006,100,100,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0
0,19,1.000435685,0.493756898,-1.248620496,4.35685179,1.343442785,0.571011374,100.0615195,99.98462012,100.0076899,100.0615195,59.64125561,100.0999692,99.98462012,100.0845894,100,100,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0
0,1,1.001205747,0.495151511,-0.969697748,12.05746537,0.160578025,0.507341072,100.2156334,99.98459761,99.99229881,100.1848286,134.962406,100.0462072,99.94609164,99.98459761,100,100,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0
1,3,1.001306788,0.489582956,-2.083408789,13.06787609,0.951550683,0.546599109,100.2076763,99.98461657,99.99230828,100.1922929,72.59001161,100.215368,99.94615799,100.0999923,100,100,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0
1,4,1.000613497,0.49967257,-0.065486038,6.134969325,2.484741647,0.669068056,100.1150748,99.99232835,100.0076717,100.0997315,215.3347732,100.0383583,99.94629843,99.96164173,100,100,0,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0
