Profit,HH,Input,Score,ADX_Main,ADX_SMA,Dist_ADX,Dist_Step,H1,L1,O1,C1,V1,H2,L2,O2,C2,V2,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23
0,13,1,0.47790773,-4.418454068,0,0.269866508,0.339222615,100.0176554,99.77048023,100,99.92937853,109.2558682,100.2118644,99.9470339,100.194209,100,100,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1
1,18,1.00123435,0.484331124,-3.133775285,12.34350203,0.466564694,0.357520254,100.3704357,99.75304286,99.9823602,100.1587582,118.3799366,100.0529194,99.71776327,99.80596225,100,100,1,0,1,0,0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0
0,19,0.999180807,0.498686409,-0.262718206,-8.191925102,3.074523124,0.628952916,100.1227639,99.61417047,99.98246229,99.82462294,98.63007834,100.0526131,99.49140652,99.56155735,100,100,1,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0
0,20,0.99747623,0.492298832,-1.5402335,-25.23770396,2.787159794,0.112974404,100.0175747,99.40246046,100.0175747,99.56063269,318.4028082,100.1581722,99.96485062,100.0351494,100,100,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0
0,14,1.00300885,0.495500121,-0.899975701,30.08849558,0.317266806,0.21175225,100.4785537,99.94682737,100,100.4431053,102.3407675,100.4962779,99.85820631,100.3722084,100,100,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0
0,15,1.001771479,0.483485912,-3.302817677,17.71479185,0.456220079,0.25464191,100.0884643,99.52229299,100.0176929,100.0530786,83.55154639,100.6369427,99.87615004,100.2653928,100,100,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
1,16,0.999116452,0.490685381,-1.862923714,-8.835483301,0.440238467,0.583657588,100.4418522,99.61117002,100,99.92930364,156.6222946,100.1060445,99.54047367,99.92930364,100,100,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1
1,16,1.00141618,0.444420707,-11.11585862,14.16179855,0.489406007,0.636379707,100.1238062,99.61089494,100,100.0530598,73.39570149,100.5129112,99.68164132,100.0707464,100,100,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0
1,18,1.009539416,0.454567746,-9.086450814,95.3941593,2.716558449,2.59826087,101.8011655,99.92936606,100,101.5362882,267.8187654,100.1059509,99.34663606,99.34663606,100,100,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0
0,19,0.999825662,0.498662525,-0.267495004,-1.743375174,4.725896547,2.373147341,100.0522557,99.68646577,100,99.89548859,57.27268424,100.3483714,99.65162864,100.1741857,100,100,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0
0,20,0.998482372,0.440332005,-11.93359894,-15.17627831,4.897995629,1.895826026,100.210084,99.71988796,100,99.82492997,79.59126929,100.5777311,99.96498599,100.4026611,100,100,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0
1,21,1.000292997,0.46928469,-6.143061931,2.92997363,4.250762208,1.69771529,100.0878735,99.84182777,99.98242531,100,28.0402394,100.5096661,100,100.228471,100,100,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
